,GHI
1087,257
1088,415
1089,533
1090,600
1091,604
1092,544
1093,435
1094,283
1095,115
1110,88
1111,260
1112,421
1113,531
1114,597
1115,604
1116,550
1117,442
1118,291
1119,121
1134,88
1135,259
1136,249
1137,538
1138,438
1139,501
1140,454
1141,352
1142,157
1143,122
1158,91
1159,106
1160,251
1161,348
1162,83
1163,56
1164,174
1165,34
1166,40
1167,8
1182,93
1183,266
1184,427
1185,554
1186,429
1187,635
1188,580
1189,471
1190,181
1191,67
1206,107
1207,284
1208,446
1209,370
1210,452
1211,641
1212,423
1213,474
1214,177
1215,117
1230,117
1231,301
1232,275
1233,452
1234,477
1235,656
1236,602
1237,489
1238,197
1239,71
1254,110
1255,287
1256,270
1257,389
1258,634
1259,640
1260,435
1261,474
1262,320
1263,146
1278,118
1279,130
1280,461
1281,584
1282,649
1283,656
1284,599
1285,488
1286,333
1287,155
1302,57
1303,122
1304,211
1305,403
1306,428
1307,413
1308,296
1309,235
1310,15
1311,19
1326,7
1327,14
1328,23
1329,61
1330,32
1331,33
1332,47
1333,37
1334,13
1335,10
1336,1
1350,8
1351,21
1352,35
1353,100
1354,62
1355,119
1356,157
1357,37
1358,23
1359,10
1360,1
1374,103
1375,159
1376,421
1377,417
1378,462
1379,625
1380,436
1381,296
1382,314
1383,145
1384,10
1398,123
1399,182
1400,456
1401,417
1402,652
1403,536
1404,476
1405,402
1406,245
1407,53
1408,7
1422,6
1423,12
1424,37
1425,435
1426,696
1427,294
1428,460
1429,27
1430,220
1431,182
1432,20
1446,158
1447,345
1448,510
1449,630
1450,693
1451,698
1452,638
1453,523
1454,365
1455,181
1456,22
1470,154
1471,339
1472,502
1473,625
1474,691
1475,696
1476,640
1477,527
1478,368
1479,185
1480,23
1493,13
1494,167
1495,358
1496,436
1497,646
1498,708
1499,610
1500,519
1501,387
1502,217
1503,73
1504,12
1517,5
1518,7
1519,16
1520,22
1521,63
1522,465
1523,526
1524,181
1525,260
1526,55
1527,27
1528,4
1541,17
1542,82
1543,227
1544,347
1545,484
1546,240
1547,406
1548,345
1549,445
1550,137
1551,9
1552,6
1565,17
1566,72
1567,224
1568,229
1569,432
1570,204
1571,393
1572,302
1573,350
1574,216
1575,8
1576,4
1589,4
1590,11
1591,57
1592,89
1593,157
1594,461
1595,245
1596,385
1597,200
1598,183
1599,50
1600,11
1613,21
1614,180
1615,366
1616,529
1617,651
1618,719
1619,721
1620,502
1621,551
1622,392
1623,208
1624,37
1637,24
1638,184
1639,372
1640,537
1641,659
1642,722
1643,556
1644,133
1645,59
1646,142
1647,207
1648,38
1661,26
1662,189
1663,215
1664,542
1665,661
1666,728
1667,732
1668,672
1669,304
1670,269
1671,213
1672,40
1685,15
1686,103
1687,223
1688,459
1689,566
1690,561
1691,750
1692,692
1693,576
1694,416
1695,225
