,GHI
5463,362
5464,176
5465,25
5476,31
5477,184
5478,366
5479,539
5480,571
5481,670
5482,721
5483,718
5484,662
5485,644
5486,497
5487,324
5488,147
5489,13
5500,26
5501,178
5502,362
5503,544
5504,693
5505,815
5506,869
5507,865
5508,802
5509,688
5510,534
5511,352
5512,166
5513,19
5524,31
5525,189
5526,378
5527,559
5528,506
5529,598
5530,863
5531,857
5532,781
5533,486
5534,506
5535,327
5536,147
5537,12
5548,26
5549,176
5550,269
5551,537
5552,685
5553,694
5554,819
5555,697
5556,750
5557,628
5558,396
5559,121
5560,37
5561,4
5572,18
5573,163
5574,232
5575,271
5576,677
5577,799
5578,857
5579,854
5580,795
5581,681
5582,525
5583,341
5584,154
5585,13
5596,23
5597,173
5598,362
5599,542
5600,698
5601,825
5602,878
5603,873
5604,808
5605,692
5606,531
5607,345
5608,154
5609,11
5620,22
5621,176
5622,365
5623,547
5624,699
5625,818
5626,872
5627,869
5628,805
5629,690
5630,533
5631,347
5632,156
5633,12
5644,25
5645,184
5646,377
5647,563
5648,718
5649,823
5650,879
5651,875
5652,806
5653,690
5654,422
5655,341
5656,150
5668,22
5669,179
5670,371
5671,556
5672,589
5673,693
5674,860
5675,855
5676,791
5677,674
5678,514
5679,330
5680,141
5692,19
5693,170
5694,361
5695,546
5696,700
5697,786
5698,839
5699,834
5700,767
5701,653
5702,496
5703,314
5704,130
5716,14
5717,158
5718,341
5719,521
5720,673
5721,784
5722,838
5723,835
5724,771
5725,523
5726,497
5727,313
5728,128
5740,14
5741,153
5742,330
5743,500
5744,641
5745,624
5746,797
5747,790
5748,728
5749,612
5750,367
5751,281
5752,107
5764,8
5765,144
5766,326
5767,502
5768,648
5769,781
5770,828
5771,816
5772,755
5773,635
5774,475
5775,291
5776,112
5788,11
5789,151
5790,337
5791,521
5792,538
5793,777
5794,832
5795,826
5796,754
5797,637
5798,481
5799,300
5800,117
5812,12
5813,155
5814,343
5815,523
5816,674
5817,786
5818,839
5819,832
5820,750
5821,630
5822,469
5823,285
5824,104
5836,7
5837,133
5838,196
5839,438
5840,524
5841,644
5842,642
5843,665
5844,622
5845,543
5846,442
5847,266
5848,95
5860,9
5861,143
5862,324
5863,499
5864,313
5865,506
5866,601
5867,176
5868,54
5869,39
5870,72
5871,13
5872,6
5884,9
5885,148
5886,239
5887,513
5888,506
5889,592
5890,558
5891,683
5892,531
5893,380
5894,362
5895,268
5896,91
5908,10
5909,152
5910,343
5911,393
5912,681
5913,686
5914,520
5915,596
5916,591
5917,544
5918,479
5919,198
5920,103
5933,63
5934,187
5935,71
5936,522
5937,776
5938,830
5939,822
5940,753
5941,632
5942,471
5943,283
5944,97
5957,146
5958,334
5959,516
5960,665
5961,771
5962,821
5963,812
5964,745
5965,623
5966,403
5967,192
5968,38
5981,92
5982,240
5983,356
5984,574
5985,603
5986,552
5987,261
5988,561
5989,411
5990,234
5991,52
5992,38
6005,74
6006,157
6007,206
6008,517
6009,613
6010,799
6011,786
6012,711
6013,499
6014,366
6015,204
6016,64
6029,31
6030,23
6031,140
6032,312
6033,478
6034,789
6035,778
6036,710
6037,343
6038,301
6039,229
6040,61
6053,120
6054,265
6055,438
6056,495
6057,731
6058,690
6059,646
6060,565
6061,498
6062,278
6063,66
6064,45
6077,7
6078,14
6079,25
6080,39
6081,49
6082,246
6083,652
6084,696
6085,587
6086,283
6087,86
6088,5
6101,125
6102,313
6103,500
6104,655
6105,761
6106,807
6107,790
6108,534
6109,419
6110,428
6111,243
6112,67
6125,77
6126,308
6127,370
6128,641
6129,744
6130,793
6131,782
6132,710
6133,451
6134,421
6135,234
6136,59
6149,124
6150,311
6151,494
6152,645
6153,753
6154,801
6155,790
6156,719
6157,595
6158,429
6159,240
6160,60
6173,122
6174,309
6175,490
6176,493
6177,745
6178,792
6179,778
6180,707
6181,582
6182,417
6183,229
6184,54
6197,107
6198,286
6199,349
6200,613
6201,111
6202,115
6203,758
6204,538
6205,436
6206,302
6207,171
6208,29
6221,8
6222,14
6223,359
6224,463
6225,696
6226,611
6227,55
6228,653
6229,408
6230,288
6231,199
6232,41
6245,119
6246,308
6247,491
6248,640
6249,741
6250,787
6251,771
6252,697
6253,489
6254,310
6255,215
6256,43
6269,113
6270,299
6271,348
6272,472
6273,249
6274,508
6275,421
6276,592
6277,556
6278,396
6279,212
6280,40
6293,103
6294,20
6295,461
6296,349
6297,104
6298,384
6299,386
6300,238
6301,419
6302,268
6303,116
6304,18
6317,7
6318,123
6319,37
6320,430
6321,487
6322,297
6323,765
6324,689
6325,561
6326,285
6327,203
6328,34
6341,107
6342,293
6343,475
6344,625
6345,728
6346,776
6347,761
6348,685
6349,557
6350,389
6351,198
6352,31
6365,100
6366,197
6367,463
6368,612
6369,716
6370,762
6371,745
6372,671
6373,545
6374,376
6375,186
6376,25
6389,34
6390,19
6391,185
6392,408
6393,449
6394,65
6395,310
6396,547
6397,390
6398,143
6399,12
6400,20
6413,6
6414,12
6415,22
6416,153
6417,394
6418,493
6419,544
6420,471
6421,381
6422,196
6423,150
6424,10
6437,89
6438,266
6439,320
6440,588
6441,692
6442,735
6443,719
6444,646
6445,519
6446,231
6447,168
6448,10
6461,49
6462,185
6463,350
6464,438
6465,669
6466,712
6467,695
6468,619
6469,494
6470,332
6471,154
6472,13
6485,78
6486,160
6487,33
6488,34
6489,464
6490,476
6491,541
6492,446
6493,481
6494,321
6495,147
6496,10
6509,6
6510,10
6511,22
6512,217
6513,387
6514,278
6515,46
6516,109
6517,282
6518,303
6519,91
6520,6
6533,6
6534,17
6535,152
6536,446
6537,660
6538,699
6539,680
6540,602
6541,476
6542,314
6543,140
6557,74
6558,249
6559,424
6560,449
6561,667
6562,709
6563,691
6564,610
6565,479
6566,212
6567,134
6581,5
6582,17
6583,293
6584,243
6585,399
6586,516
6587,660
6588,578
6589,454
6590,212
6591,123
6605,67
6606,238
6607,412
6608,557
6609,657
6610,699
6611,543
6612,443
6613,474
6614,307
6615,129
6629,63
6630,227
6631,394
6632,535
6633,630
6634,671
6635,653
6636,579
6637,453
6638,293
6639,121
6653,65
6654,143
6655,407
6656,550
6657,648
6658,689
6659,668
6660,590
6661,460
6662,297
6663,120
6677,65
6678,237
6679,298
6680,433
6681,655
6682,496
6683,540
6684,316
6685,252
6686,203
6687,68
6701,5
6702,16
6703,34
6704,299
6705,365
6706,470
6707,343
6708,601
6709,471
6710,302
6711,119
6725,65
6726,142
6727,272
6728,403
6729,658
6730,484
6731,535
6732,597
6733,469
6734,302
6735,119
6749,58
6750,158
6751,295
6752,379
6753,505
6754,537
6755,662
6756,581
6757,450
6758,187
6759,63
6773,52
6774,219
6775,389
6776,344
6777,417
6778,456
6779,228
6780,97
6781,235
6782,180
6783,96
6797,4
6798,14
6799,275
6800,519
6801,616
6802,655
6803,634
6804,557
6805,431
6806,268
6807,96
6821,52
6822,222
6823,396
6824,540
6825,637
6826,676
6827,655
6828,573
6829,442
6830,275
6831,97
6845,44
6846,53
6847,244
6848,511
6849,611
6850,651
6851,630
6852,552
6853,276
6854,103
6855,86
6869,41
6870,201
6871,372
6872,386
6873,477
6874,560
6875,541
6876,465
6877,275
6878,145
6879,83
6893,37
6894,194
6895,363
6896,507
6897,610
6898,648
6899,627
6900,549
6901,419
6902,254
6903,80
6917,25
6918,201
6919,373
6920,514
6921,477
6922,648
6923,625
6924,466
6925,334
6926,204
6927,75
6941,36
6942,194
6943,364
6944,507
6945,602
6946,638
6947,616
6948,534
6949,403
6950,123
6951,70
6965,14
6966,189
6967,180
6968,259
6969,398
6970,482
6971,521
6972,447
6973,391
6974,229
6975,64
6989,31
6990,184
6991,219
6992,344
6993,583
6994,620
6995,598
6996,514
6997,384
6998,91
6999,61
7013,26
7014,172
7015,334
7016,323
7017,552
7018,589
7019,437
7020,492
7021,365
7022,69
7023,52
7037,25
7038,174
7039,213
7040,302
7041,436
7042,491
7043,585
7044,509
7045,380
7046,217
7047,55
7061,23
7062,167
7063,266
7064,328
7065,471
7066,496
7067,482
7068,377
7069,250
7070,8
7071,4
7085,20
7086,11
7087,25
7088,283
7089,46
7090,419
7091,374
7092,281
7093,27
7094,9
7095,4
7109,2
7110,8
7111,15
7112,24
7113,29
7114,33
7115,32
7116,24
7117,16
7118,9
7119,4
7133,19
7134,163
7135,328
7136,251
7137,560
7138,596
7139,575
7140,492
7141,170
7142,202
7143,44
7157,16
7158,154
7159,196
7160,449
7161,550
7162,446
7163,565
7164,486
7165,358
7166,197
7167,35
7181,18
7182,166
7183,332
7184,470
7185,561
7186,596
7187,441
7188,366
7189,103
7190,45
7191,12
7205,17
7206,164
7207,333
7208,473
7209,563
7210,601
7211,578
7212,497
7213,364
7214,199
7215,38
7229,15
7230,77
7231,178
7232,302
7233,448
7234,472
7235,466
7236,383
7237,267
7238,86
7239,23
7253,9
7254,9
7255,21
7256,288
7257,379
7258,564
7259,423
7260,385
7261,281
7262,83
7263,12
7278,148
7279,312
7280,352
7281,544
7282,581
7283,424
7284,315
7285,351
7286,188
7287,31
7302,149
7303,314
7304,452
7305,542
7306,578
7307,554
7308,471
7309,195
7310,181
7311,28
7326,145
7327,310
7328,448
7329,539
7330,479
7331,458
7332,373
7333,277
7334,84
7335,20
7350,132
7351,196
7352,286
7353,512
7354,545
7355,522
7356,442
7357,196
7358,92
7359,10
7374,130
7375,292
7376,430
7377,364
7378,562
7379,539
7380,458
7381,330
7382,170
7383,22
7398,131
7399,173
7400,261
7401,398
7402,423
7403,517
7404,435
7405,139
7406,151
7407,15
7422,6
7423,15
7424,19
7425,24
7426,90
7427,25
7428,37
7429,54
7430,12
7431,3
7446,10
7447,18
7448,268
7449,501
7450,536
7451,509
7452,268
7453,132
7454,142
7455,13
7470,7
7471,18
7472,235
7473,492
7474,530
7475,356
7476,429
7477,163
7478,149
7479,14
7494,115
7495,272
7496,405
7497,496
7498,533
7499,509
7500,231
7501,133
7502,38
7503,12
7518,29
7519,80
7520,106
7521,332
7522,39
7523,37
7524,103
7525,133
7526,124
7542,31
7543,40
7544,172
7545,378
7546,410
7547,403
7548,194
7549,122
7550,122
7566,102
7567,118
7568,387
7569,468
7570,429
7571,404
7572,392
7573,203
7574,85
7590,104
7591,261
7592,395
7593,378
7594,295
7595,209
7596,80
7597,12
7598,7
7614,55
7615,59
7616,111
7617,24
7618,25
7619,23
7620,18
7621,12
7622,7
7638,10
7639,20
7640,229
7641,297
7642,264
7643,166
7644,31
7645,10
7646,8
7662,6
7663,11
7664,17
7665,21
7666,248
7667,285
7668,215
7669,11
7670,6
7686,17
7687,49
7688,84
7689,111
7690,122
7691,115
7692,92
7693,18
7694,6
7710,6
7711,15
7712,25
7713,45
7714,177
7715,225
7716,48
7717,17
7718,11
7734,76
7735,15
7736,25
7737,46
7738,57
7739,259
7740,238
7741,148
7742,39
7758,5
7759,15
7760,25
7761,143
7762,285
7763,483
7764,233
7765,279
7766,124
7782,40
7783,87
7784,70
7785,451
7786,488
7787,467
7788,390
7789,126
7790,117
7806,36
7807,220
7808,351
7809,440
7810,476
7811,458
7812,382
7813,262
7814,115
7830,33
7831,114
7832,200
7833,429
7834,468
7835,194
7836,172
7837,255
7838,109
7854,67
7855,76
7856,255
7857,279
7858,385
7859,362
7860,305
7861,201
7862,108
7878,60
7879,202
7880,179
7881,348
7882,357
7883,341
7884,217
7885,113
7886,46
7902,4
7903,13
7904,23
7905,16
7906,18
7907,44
7908,26
7909,16
7910,106
7926,25
7927,187
7928,178
7929,239
7930,253
7931,292
7932,48
7933,84
7934,32
7950,4
7951,13
7952,177
7953,259
7954,263
7955,456
7956,376
7957,109
7958,108
7974,32
7975,116
7976,235
7977,285
7978,298
7979,104
7980,83
7981,11
7982,6
7998,4
7999,7
8000,12
8001,16
8002,18
8003,39
8004,24
8005,15
8006,6
8022,4
8023,8
8024,14
8025,16
8026,22
8027,20
8028,16
8029,11
8030,6
8046,46
8047,184
8048,186
8049,251
8050,162
8051,79
8052,177
8053,93
8054,88
8070,25
8071,117
8072,210
8073,198
8074,79
8075,41
8076,25
8077,78
8078,29
8094,41
8095,11
8096,21
8097,28
8098,195
8099,265
8100,82
8101,15
8102,6
8118,9
8119,101
8120,188
8121,392
8122,321
8123,33
8124,38
8125,132
8126,48
8142,41
8143,181
8144,314
8145,406
8146,448
8147,311
8148,362
8149,107
8150,103
8166,41
8167,182
8168,315
8169,260
8170,307
8171,434
8172,360
8173,102
8174,102
8190,39
8191,179
8192,311
8193,256
8194,306
8195,430
8196,194
8197,99
8198,99
8214,4
8215,8
8216,13
8217,27
8218,242
8219,308
8220,128
8221,120
8222,44
8238,36
8239,175
8240,309
8241,244
8242,447
8243,433
8244,361
8245,246
8246,102
8262,13
8263,59
8264,167
8265,261
8266,303
8267,308
8268,241
8269,94
8270,38
8286,28
8287,157
8288,215
8289,231
8290,330
8291,311
8292,196
8293,101
8294,41
8310,3
8311,8
8312,11
8313,14
8314,16
8315,16
8316,13
8317,9
8318,5
8334,4
8335,9
8336,63
8337,49
8338,309
8339,122
8340,70
8341,9
8342,5
8358,3
8359,6
8360,10
8361,14
8362,16
8363,15
8364,13
8365,9
8366,5
8382,4
8383,9
8384,13
8385,18
8386,21
8387,20
8388,13
8389,10
8390,6
8406,10
8407,72
8408,256
8409,358
8410,266
8411,288
8412,65
8413,97
8414,36
8430,2
8431,10
8432,20
8433,28
8434,31
8435,31
8436,25
8437,16
8438,7
8454,4
8455,20
8456,123
8457,208
8458,128
8459,66
8460,24
8461,69
8462,26
8478,2
8479,10
8480,18
8481,28
8482,35
8483,31
8484,25
8485,15
8486,7
8502,8
8503,154
8504,290
8505,206
8506,282
8507,228
8508,197
8509,55
8510,22
8526,22
8527,52
8528,105
8529,233
8530,166
8531,289
8532,282
8533,78
8534,30
8550,21
8551,150
8552,123
8553,212
8554,236
8555,419
8556,189
8557,99
8558,108
8574,18
8575,143
8576,275
8577,221
8578,273
8579,287
8580,195
8581,102
8582,108
8598,19
8599,150
8600,284
8601,225
8602,285
8603,299
8604,203
8605,104
8606,114
8622,18
8623,9
8624,18
8625,230
8626,282
8627,241
8628,116
8629,11
8630,6
8646,6
8647,15
8648,26
8649,220
8650,169
8651,273
8652,25
8653,98
8654,43
8670,16
8671,141
8672,18
8673,268
8674,425
8675,108
8676,25
8677,163
8678,109
8694,15
8695,69
8696,149
8697,217
8698,274
8699,419
8700,161
8701,117
8702,109
8718,17
8719,145
8720,151
8721,27
8722,104
8723,96
8724,167
8725,99
8726,41
8742,17
8743,142
8744,135
8745,227
8746,280
8747,297
8748,364
8749,109
8750,121
8766,5
8767,38
8768,20
8769,52
8770,17
8771,25
8772,17
8773,10
8774,6
8790,3
8791,30
8792,12
8793,17
8794,19
8795,19
8796,128
8797,62
8798,7
8814,17
8815,145
8816,126
8817,228
8818,287
8819,302
8820,225
8821,143
8822,65
8838,5
8839,81
8840,121
8841,291
8842,289
8843,435
8844,221
8845,127
8846,132
8862,15
8863,137
8864,139
8865,235
8866,418
8867,296
8868,293
8869,106
8870,125
8886,17
8887,144
8888,18
8889,27
8890,201
8891,235
8892,155
8893,140
8894,47
8895,13
8910,2
8911,6
8912,11
8913,17
8914,241
8915,294
8916,194
8917,128
8918,46
8919,13
8934,16
8935,53
8936,79
8937,227
8938,211
8939,75
8940,127
8941,37
8942,39
8943,11
8958,2
8959,6
8960,41
8961,27
8962,32
8963,205
8964,63
8965,26
8966,18
8967,1
8982,2
8983,9
8984,12
8985,28
8986,17
8987,17
8988,22
8989,19
8990,9
8991,2
9006,4
9007,59
9008,284
9009,395
9010,453
9011,329
9012,241
9013,292
9014,150
9015,19
9030,5
9031,53
9032,127
9033,294
9034,288
9035,314
9036,194
9037,131
9038,46
9039,8
9054,2
9055,9
9056,19
9057,27
9058,32
9059,218
9060,111
9061,44
9062,24
9063,4
9078,2
9079,9
9080,19
9081,246
9082,285
9083,323
9084,250
9085,26
9086,32
9087,7
9102,2
9103,9
9104,19
9105,60
9106,103
9107,154
9108,29
9109,87
9110,10
9111,2
9126,21
9127,70
9128,172
9129,407
9130,463
9131,119
9132,107
9133,82
9134,162
9135,27
9150,7
9151,157
9152,156
9153,269
9154,307
9155,327
9156,41
9157,177
9158,55
9159,9
9174,22
9175,53
9176,142
9177,253
9178,318
9179,355
9180,272
9181,332
9182,185
9183,13
9198,9
9199,51
9200,188
9201,249
9202,285
9203,279
9204,232
9205,158
9206,81
9207,17
9222,3
9223,10
9224,11
9225,30
9226,35
9227,36
9228,215
9229,116
9230,179
9231,37
9246,25
9247,163
9248,27
9249,31
9250,256
9251,119
9252,31
9253,29
9254,12
9255,36
9270,8
9271,171
9272,151
9273,253
9274,327
9275,359
9276,352
9277,258
9278,75
9279,18
9294,2
9295,10
9296,21
9297,31
9298,36
9299,235
9300,31
9301,23
9302,12
9303,4
9318,29
9319,175
9320,152
9321,272
9322,332
9323,503
9324,449
9325,343
9326,199
9327,48
9342,30
9343,176
9344,139
9345,258
9346,335
9347,374
9348,451
9349,198
9350,203
9351,51
9366,33
9367,182
9368,182
9369,286
9370,508
9371,513
9372,460
9373,201
9374,208
9375,54
9390,31
9391,11
9392,22
9393,32
9394,202
9395,205
9396,114
9397,24
9398,45
9399,4
9414,13
9415,178
9416,166
9417,238
9418,182
9419,301
9420,287
9421,207
9422,202
9423,54
9438,33
9439,177
9440,186
9441,289
9442,357
9443,515
9444,463
9445,209
9446,213
9447,60
9462,37
9463,186
9464,188
9465,297
9466,512
9467,396
9468,316
9469,219
9470,214
9471,61
9486,38
9487,189
9488,190
9489,308
9490,377
9491,528
9492,333
9493,231
9494,221
9495,65
9510,23
9511,120
9512,231
9513,321
9514,372
9515,102
9516,87
9517,63
9518,35
9519,14
9534,9
9535,32
9536,41
9537,23
9538,28
9539,28
9540,25
9541,26
9542,15
9543,5
9558,4
9559,13
9560,16
9561,23
9562,28
9563,30
9564,37
9565,18
9566,11
9567,6
9582,4
9583,13
9584,25
9585,36
9586,42
9587,42
9588,37
9589,30
9590,20
9591,8
9606,28
9607,48
9608,51
9609,60
9610,63
9611,64
9612,60
9613,55
9614,28
9615,9
9630,11
9631,46
9632,73
9633,117
9634,191
9635,211
9636,184
9637,121
9638,79
9639,28
9654,4
9655,14
9656,26
9657,411
9658,472
9659,484
9660,452
9661,360
9662,232
9663,83
9678,4
9679,15
9680,27
9681,38
9682,45
9683,45
9684,509
9685,401
9686,253
9687,89
9702,64
9703,230
9704,389
9705,328
9706,378
9707,578
9708,524
9709,414
9710,264
9711,98
9726,5
9727,10
9728,18
9729,25
9730,131
9731,103
9732,76
9733,25
9734,11
9735,6
9750,5
9751,83
9752,15
9753,107
9754,362
9755,467
9756,384
9757,78
9758,133
9759,96
9774,69
9775,87
9776,231
9777,337
9778,585
9779,592
9780,444
9781,120
9782,35
9783,20
9798,5
9799,11
9800,18
9801,26
9802,31
9803,32
9804,28
9805,28
9806,19
9807,8
9822,6
9823,12
9824,201
9825,351
9826,605
9827,475
9828,191
9829,108
9830,21
9831,6
9846,25
9847,87
9848,30
9849,41
9850,273
9851,448
9852,308
9853,211
9854,73
9855,35
9870,88
9871,101
9872,246
9873,544
9874,613
9875,621
9876,564
9877,455
9878,302
9879,127
9894,88
9895,106
9896,256
9897,358
9898,605
9899,611
9900,399
9901,362
9902,152
9903,51
9918,12
9919,37
9920,173
9921,227
9922,264
9923,224
9924,293
9925,182
9926,121
9927,34
9942,26
9943,18
9944,31
9945,221
9946,85
9947,170
9948,44
9949,40
9950,21
9951,8
9966,5
9967,10
9968,26
9969,174
9970,386
9971,265
9972,390
9973,108
9974,71
9975,31
9990,7
9991,11
9992,54
9993,235
9994,335
9995,37
9996,31
9997,22
9998,13
9999,7
10014,7
10015,17
10016,227
10017,405
10018,230
10019,240
10020,289
10021,154
10022,31
10023,9
10038,6
10039,11
10040,70
10041,351
10042,253
10043,205
10044,171
10045,117
10046,29
10047,72
10062,20
10063,79
10064,229
10065,187
10066,320
10067,388
10068,310
10069,80
10070,139
10071,37
10086,17
10087,124
10088,242
10089,244
10090,298
10091,343
10092,209
10093,29
10094,14
10095,7
10096,5
10110,8
10111,21
10112,25
10113,34
10114,39
10115,34
10116,49
10117,38
10118,24
10119,11
10120,12
10134,10
10135,15
10136,38
10137,34
10138,56
10139,61
10140,325
10141,303
10142,334
10143,159
10144,13
10158,142
10159,327
10160,494
10161,353
10162,412
10163,268
10164,412
10165,169
10166,141
10167,87
10168,7
10182,7
10183,15
10184,24
10185,59
10186,49
10187,35
10188,113
10189,103
10190,16
10191,8
10192,2
10206,10
10207,136
10208,311
10209,379
10210,246
10211,640
10212,449
10213,260
10214,159
10215,180
10216,21
10230,154
10231,25
10232,37
10233,115
10234,96
10235,43
10236,111
10237,93
10238,25
10239,11
10240,2
10254,155
10255,341
10256,273
10257,377
10258,482
10259,485
10260,264
10261,71
10262,245
10263,76
10264,11
10277,1
10278,15
10279,27
10280,138
10281,135
10282,42
10283,138
10284,39
10285,43
10286,36
10287,32
10288,3
10301,1
10302,8
10303,16
10304,50
10305,216
10306,56
10307,313
10308,474
10309,453
10310,73
10311,152
10312,27
10325,19
10326,60
10327,137
10328,329
10329,471
10330,516
10331,544
10332,124
10333,138
10334,124
10335,139
10336,18
10349,20
10350,185
10351,377
10352,545
10353,669
10354,735
10355,739
10356,681
10357,567
10358,260
10359,211
10360,18
10373,11
10374,8
10375,214
10376,418
10377,538
10378,718
10379,722
10380,664
10381,551
10382,391
10383,206
10384,36
10397,26
10398,191
10399,230
10400,382
10401,469
10402,571
10403,425
10404,652
10405,288
10406,267
10407,171
10408,36
10421,28
10422,189
10423,230
10424,362
10425,469
10426,233
10427,593
10428,491
10429,373
10430,255
10431,109
10432,22
10445,4
10446,10
10447,28
10448,544
10449,665
10450,728
10451,730
10452,514
10453,98
10454,285
10455,90
10456,20
10469,14
10470,95
10471,260
10472,460
10473,489
10474,471
10475,505
10476,688
10477,379
10478,200
10479,80
10480,46
10493,39
10494,213
10495,272
10496,569
10497,455
10498,549
10499,514
10500,520
10501,577
10502,282
10503,223
10504,47
10517,43
10518,219
10519,274
10520,474
10521,523
10522,755
10523,759
10524,532
10525,338
10526,79
10527,17
10528,6
10541,4
10542,9
10543,20
10544,39
10545,133
10546,329
10547,360
10548,388
10549,244
10550,266
10551,20
10552,7
10565,20
10566,96
10567,261
10568,401
10569,514
10570,580
10571,491
10572,401
10573,450
10574,332
10575,156
10576,19
10589,59
10590,110
10591,297
10592,613
10593,524
10594,218
10595,81
10596,405
10597,183
10598,32
10599,55
10600,16
10613,24
10614,95
10615,224
10616,496
10617,501
10618,312
10619,324
10620,530
10621,501
10622,196
10623,17
10624,5
10637,32
10638,251
10639,449
10640,421
10641,524
10642,266
10643,432
10644,65
10645,34
10646,81
10647,56
10648,17
10661,23
10662,96
10663,299
10664,592
10665,254
10666,637
10667,604
10668,150
10669,70
10670,177
10671,64
10672,19
10685,5
10686,17
10687,22
10688,36
10689,47
10690,46
10691,56
10692,46
10693,34
10694,20
10695,11
10696,5
10709,8
10710,10
10711,44
10712,55
10713,66
10714,128
10715,196
10716,88
10717,70
10718,34
10719,17
10720,5
10733,6
10734,18
10735,35
10736,50
10737,210
10738,170
10739,555
10740,384
10741,323
10742,282
10743,26
10744,7
10757,5
10758,11
10759,119
10760,254
10761,50
10762,274
10763,97
10764,60
10765,51
10766,71
10767,12
10768,5
10781,6
10782,19
10783,37
10784,51
10785,239
10786,191
10787,519
10788,361
10789,194
10790,98
10791,44
10792,12
10805,36
10806,125
10807,319
10808,622
10809,515
10810,794
10811,794
10812,720
10813,600
10814,437
10815,251
10816,71
10829,89
10830,277
10831,334
10832,633
10833,750
10834,813
10835,812
10836,745
10837,628
10838,337
10839,271
10840,84
10853,103
10854,188
10855,347
10856,437
10857,644
10858,591
10859,702
10860,571
10861,566
10862,401
10863,239
10864,89
10877,34
10878,147
10879,169
10880,313
10881,544
10882,476
10883,336
10884,200
10885,263
10886,261
10887,37
10888,34
10901,30
10902,168
10903,328
10904,414
10905,581
10906,617
10907,304
10908,543
10909,512
10910,311
10911,243
10912,40
10925,117
10926,311
10927,211
10928,441
10929,584
10930,580
10931,707
10932,548
10933,174
10934,23
10935,139
10936,37
10949,128
10950,328
10951,522
10952,683
10953,799
10954,856
10955,851
10956,784
10957,662
10958,494
10959,298
10960,103
10973,73
10974,208
10975,419
10976,558
10977,634
10978,665
10979,720
10980,694
10981,519
10982,442
10983,201
10984,80
10997,47
10998,118
10999,397
11000,347
11001,347
11002,603
11003,587
11004,199
11005,157
11006,65
11007,110
11008,6
11021,9
11022,39
11023,160
11024,254
11025,283
11026,61
11027,795
11028,716
11029,423
11030,26
11031,13
11032,52
11045,128
11046,321
11047,356
11048,472
11049,597
11050,681
11051,840
11052,778
11053,659
11054,497
11055,304
11056,111
11069,140
11070,228
11071,525
11072,515
11073,803
11074,860
11075,856
11076,793
11077,671
11078,505
11079,310
11080,115
11093,148
11094,346
11095,535
11096,549
11097,622
11098,862
11099,855
11100,788
11101,666
11102,502
11103,309
11104,118
11117,8
11118,16
11119,28
11120,45
11121,58
11122,69
11123,113
11124,76
11125,204
11126,371
11127,292
11128,108
11140,11
11141,100
11142,257
11143,450
11144,547
11145,639
11146,403
11147,387
11148,568
11149,307
11150,362
11151,231
11152,56
11164,5
11165,8
11166,14
11167,252
11168,629
11169,655
11170,818
11171,797
11172,599
11173,499
11174,360
11175,257
11176,82
11189,62
11190,53
11191,348
11192,455
11193,781
11194,842
11195,622
11196,582
11197,236
11198,222
11199,293
11200,45
11212,13
11213,89
11214,358
11215,547
11216,704
11217,812
11218,868
11219,861
11220,791
11221,667
11222,502
11223,311
11224,121
11236,16
11237,168
11238,264
11239,415
11240,619
11241,725
11242,676
11243,652
11244,649
11245,548
11246,401
11247,17
11248,7
11260,1
11261,44
11262,82
11263,146
11264,206
11265,224
11266,209
11267,250
11268,365
11269,423
11270,408
11271,228
11272,53
11285,84
11286,28
11287,440
11288,467
11289,580
11290,550
11291,696
11292,661
11293,129
11294,385
11295,274
11296,98
11308,4
11309,128
11310,241
11311,396
11312,543
11313,607
11314,572
11315,652
11316,548
11317,596
11318,368
11319,267
11320,91
11332,7
11333,146
11334,327
11335,434
11336,584
11337,516
11338,654
11339,690
11340,769
11341,650
11342,387
11343,303
11344,122
11356,11
11357,72
11358,258
11359,528
11360,677
11361,812
11362,865
11363,858
11364,796
11365,677
11366,517
11367,329
11368,140
11380,34
11381,202
11382,297
11383,590
11384,746
11385,858
11386,910
11387,901
11388,832
11389,709
11390,543
11391,348
11392,150
11404,38
11405,206
11406,403
11407,447
11408,740
11409,846
11410,897
11411,890
11412,640
11413,538
11414,410
11415,343
11416,150
11417,10
11428,40
11429,208
11430,406
11431,594
11432,749
11433,856
11434,907
11435,896
11436,828
11437,706
11438,541
11439,349
11440,154
11441,11
11452,43
11453,60
11454,414
11455,601
11456,758
11457,868
11458,920
11459,911
11460,841
11461,719
11462,555
11463,361
11464,163
11465,13
11476,42
11477,67
11478,307
11479,513
11480,629
11481,727
11482,768
11483,737
11484,710
11485,607
11486,468
11487,315
11488,134
11489,6
11500,40
11501,50
11502,286
11503,568
11504,715
11505,823
11506,709
11507,729
11508,633
11509,604
11510,404
11511,329
11512,145
11513,10
11524,44
11525,62
11526,295
11527,584
11528,734
11529,851
11530,901
11531,892
11532,822
11533,701
11534,539
11535,348
11536,156
11537,13
11548,49
11549,70
11550,303
11551,597
11552,517
11553,583
11554,688
11555,689
11556,626
11557,551
11558,407
11559,350
11560,159
11561,14
11572,16
11573,71
11574,244
11575,459
11576,528
11577,263
11578,742
11579,876
11580,625
11581,364
11582,425
11583,286
11584,33
11585,6
11596,32
11597,121
11598,152
11599,478
11600,576
11601,603
11602,776
11603,713
11604,772
11605,528
11606,396
11607,312
11608,135
11609,7
11620,49
